Director,IMDb Page
Michelle Danner,"{'Director': 'Michelle Danner', 'IMDb Page': 'https://www.imdb.com/name/nm0200403/?ref_=fn_nme_nme_1'}"
Helle Toft Jensen,"{'Director': 'Helle Toft Jensen', 'IMDb Page': 'https://www.imdb.com/name/nm2711737/?ref_=fn_nme_nme_1'}"
Selma Vilhunen,"{'Director': 'Selma Vilhunen', 'IMDb Page': 'https://www.imdb.com/name/nm1437990/?ref_=fn_nme_nme_1'}"
Anna Kendrick,"{'Director': 'Anna Kendrick', 'IMDb Page': 'https://www.imdb.com/name/nm0447695/?ref_=fn_nme_nme_1'}"
Nurit Kedar,"{'Director': 'Nurit Kedar', 'IMDb Page': 'https://www.imdb.com/name/nm0444290/?ref_=fn_nme_nme_1'}"
Liu Yulin,"{'Director': 'Liu Yulin', 'IMDb Page': 'https://www.imdb.com/name/nm4451634/?ref_=fn_nme_nme_1'}"
Sandra Nettelbeck,"{'Director': 'Sandra Nettelbeck', 'IMDb Page': 'https://www.imdb.com/name/nm0626686/?ref_=fn_nme_nme_1'}"
Maureen Gosling,"{'Director': 'Maureen Gosling', 'IMDb Page': 'https://www.imdb.com/name/nm0331510/?ref_=fn_nme_nme_1'}"
Brooklyn Sudano,"{'Director': 'Brooklyn Sudano', 'IMDb Page': 'https://www.imdb.com/name/nm1479002/?ref_=fn_nme_nme_1'}"
Yuliya Shashkova,"{'Director': 'Yuliya Shashkova', 'IMDb Page': 'https://www.imdb.com/name/nm4818970/?ref_=fn_nme_nme_1'}"
Renée Beaulieu,"{'Director': 'Renée Beaulieu', 'IMDb Page': 'https://www.imdb.com/name/nm2516915/?ref_=fn_nme_nme_1'}"
Henrika Kull,"{'Director': 'Henrika Kull', 'IMDb Page': 'https://www.imdb.com/name/nm6876241/?ref_=fn_nme_nme_1'}"
Tone Grøttjord,"{'Director': 'Tone Grøttjord', 'IMDb Page': 'https://www.imdb.com/name/nm4383606/?ref_=fn_nme_nme_1'}"
Susan Buice,"{'Director': 'Susan Buice', 'IMDb Page': 'https://www.imdb.com/name/nm1799232/?ref_=fn_nme_nme_1'}"
Dechen Roder,"{'Director': 'Dechen Roder', 'IMDb Page': 'https://www.imdb.com/name/nm3162991/?ref_=fn_nme_nme_1'}"
Anna Hints,"{'Director': 'Anna Hints', 'IMDb Page': 'https://www.imdb.com/name/nm5391112/?ref_=fn_nme_nme_1'}"
Sandrine Bonnaire,"{'Director': 'Sandrine Bonnaire', 'IMDb Page': 'https://www.imdb.com/name/nm0094789/?ref_=fn_nme_nme_1'}"
Maren Ade,"{'Director': 'Maren Ade', 'IMDb Page': 'https://www.imdb.com/name/nm0011752/?ref_=fn_nme_nme_1'}"
Geetanjali Shree,"{'Director': 'Geetanjali Shree', 'IMDb Page': 'https://www.imdb.com/name/nm8490719/?ref_=fn_nme_nme_1'}"
Pernille Rose Grønkjær,"{'Director': 'Pernille Rose Grønkjær', 'IMDb Page': 'https://www.imdb.com/name/nm1279549/?ref_=fn_nme_nme_1'}"
Pia Bovin,"{'Director': 'Pia Bovin', 'IMDb Page': 'https://www.imdb.com/name/nm0100627/?ref_=fn_nme_nme_1'}"
Dana Perry,"{'Director': 'Dana Perry', 'IMDb Page': 'https://www.imdb.com/name/nm0675017/?ref_=fn_nme_nme_1'}"
Rayda Jacobs,"{'Director': 'Rayda Jacobs', 'IMDb Page': 'https://www.imdb.com/name/nm2341709/?ref_=fn_nme_nme_1'}"
Violeta Ayala,"{'Director': 'Violeta Ayala', 'IMDb Page': 'https://www.imdb.com/name/nm3460179/?ref_=fn_nme_nme_1'}"
Giulia Frati,"{'Director': 'Giulia Frati', 'IMDb Page': 'https://www.imdb.com/name/nm3970809/?ref_=fn_nme_nme_1'}"
Alexandra Sicotte-Levesque,"{'Director': 'Alexandra Sicotte-Levesque', 'IMDb Page': 'https://www.imdb.com/name/nm2364202/?ref_=fn_nme_nme_1'}"
Pernille Elkjær,"{'Director': 'Pernille Elkjær', 'IMDb Page': 'https://www.imdb.com/name/nm4792945/?ref_=fn_nme_nme_1'}"
Mirjam von Arx,"{'Director': 'Mirjam von Arx', 'IMDb Page': 'https://www.imdb.com/name/nm1438248/?ref_=fn_nme_nme_1'}"
Anne-Laure Bonnel,"{'Director': 'Anne-Laure Bonnel', 'IMDb Page': 'https://www.imdb.com/name/nm7931891/?ref_=fn_nme_nme_1'}"
Gisella Burga,"{'Director': 'Gisella Burga', 'IMDb Page': 'https://www.imdb.com/name/nm15236553/?ref_=fn_nme_nme_1'}"
Francine Desbiens,"{'Director': 'Francine Desbiens', 'IMDb Page': 'https://www.imdb.com/name/nm0220928/?ref_=fn_nme_nme_1'}"
Anne-Sophie Dutoit,"{'Director': 'Anne-Sophie Dutoit', 'IMDb Page': 'https://www.imdb.com/name/nm1728206/?ref_=fn_nme_nme_1'}"
Dania Pasquini,"{'Director': 'Dania Pasquini', 'IMDb Page': 'https://www.imdb.com/name/nm2790431/?ref_=fn_nme_nme_1'}"
Ulrike Kofler,"{'Director': 'Ulrike Kofler', 'IMDb Page': 'https://www.imdb.com/name/nm1061007/?ref_=fn_nme_nme_1'}"
Hee-jung Kim,"{'Director': 'Hee-jung Kim', 'IMDb Page': 'https://www.imdb.com/name/nm3343883/?ref_=fn_nme_nme_1'}"
Meenu Gaur,"{'Director': 'Meenu Gaur', 'IMDb Page': 'https://www.imdb.com/name/nm2343528/?ref_=fn_nme_nme_1'}"
Sonja Savić,"{'Director': 'Sonja Savić', 'IMDb Page': 'https://www.imdb.com/name/nm0767628/?ref_=fn_nme_nme_1'}"
Nana Kagga,"{'Director': 'Nana Kagga', 'IMDb Page': 'https://www.imdb.com/name/nm2049471/?ref_=fn_nme_nme_1'}"
Lisi Mai,"{'Director': 'Lisi Mai', 'IMDb Page': 'https://www.imdb.com/name/nm8959172/?ref_=fn_nme_nme_1'}"
Clare Peploe,"{'Director': 'Clare Peploe', 'IMDb Page': 'https://www.imdb.com/name/nm0672543/?ref_=fn_nme_nme_1'}"
Sharon Shattuck,"{'Director': 'Sharon Shattuck', 'IMDb Page': 'https://www.imdb.com/name/nm0789449/?ref_=fn_nme_nme_1'}"
Chihiro Itō,"{'Director': 'Chihiro Itō', 'IMDb Page': 'https://www.imdb.com/name/nm1920461/?ref_=fn_nme_nme_1'}"
Brigitte Coscas,"{'Director': 'Brigitte Coscas', 'IMDb Page': 'https://www.imdb.com/name/nm0181745/?ref_=fn_nme_nme_1'}"
Rosemary Myers,"{'Director': 'Rosemary Myers', 'IMDb Page': 'https://www.imdb.com/name/nm6702777/?ref_=fn_nme_nme_1'}"
Martha Stephens,"{'Director': 'Martha Stephens', 'IMDb Page': 'https://www.imdb.com/name/nm1387503/?ref_=fn_nme_nme_1'}"
Q78514468,"{'Director': 'Q78514468', 'IMDb Page': 'Not Found'}"
Geneviève Dulude-De Celles,"{'Director': 'Geneviève Dulude-De Celles', 'IMDb Page': 'https://www.imdb.com/name/nm3984512/?ref_=fn_nme_nme_1'}"
Laura Baumeister de Montis,"{'Director': 'Laura Baumeister de Montis', 'IMDb Page': 'https://www.imdb.com/name/nm3752435/?ref_=fn_nme_nme_1'}"
Suzanne Raes,"{'Director': 'Suzanne Raes', 'IMDb Page': 'https://www.imdb.com/name/nm1192521/?ref_=fn_nme_nme_1'}"
"Tracy Somerset, Duchess of Beaufort","{'Director': 'Tracy Somerset, Duchess of Beaufort', 'IMDb Page': 'Not Found'}"
Esen Işık,"{'Director': 'Esen Işık', 'IMDb Page': 'https://www.imdb.com/name/nm0411200/?ref_=fn_nme_nme_1'}"
Kamala Lopez,"{'Director': 'Kamala Lopez', 'IMDb Page': 'https://www.imdb.com/name/nm0520234/?ref_=fn_nme_nme_1'}"
Marianne Hettinger,"{'Director': 'Marianne Hettinger', 'IMDb Page': 'https://www.imdb.com/name/nm0381783/?ref_=fn_nme_nme_1'}"
Caridad Riol Hernáiz,"{'Director': 'Caridad Riol Hernáiz', 'IMDb Page': 'Not Found'}"
Li Yi,"{'Director': 'Li Yi', 'IMDb Page': 'https://www.imdb.com/name/nm11492278/?ref_=fn_nme_nme_1'}"
Deema Dabis,"{'Director': 'Deema Dabis', 'IMDb Page': 'https://www.imdb.com/name/nm4576189/?ref_=fn_nme_nme_1'}"
Yi-Chien Yang,"{'Director': 'Yi-Chien Yang', 'IMDb Page': 'https://www.imdb.com/name/nm3325510/?ref_=fn_nme_nme_1'}"
Lisa James Larsson,"{'Director': 'Lisa James Larsson', 'IMDb Page': 'https://www.imdb.com/name/nm2657081/?ref_=fn_nme_nme_1'}"
Annie Yi,"{'Director': 'Annie Yi', 'IMDb Page': 'https://www.imdb.com/name/nm0409244/?ref_=fn_nme_nme_1'}"
Chanya Button,"{'Director': 'Chanya Button', 'IMDb Page': 'https://www.imdb.com/name/nm4800248/?ref_=fn_nme_nme_1'}"
Solveig Nordlund,"{'Director': 'Solveig Nordlund', 'IMDb Page': 'https://www.imdb.com/name/nm0635145/?ref_=fn_nme_nme_1'}"
Jacky St. James,"{'Director': 'Jacky St. James', 'IMDb Page': 'https://www.imdb.com/name/nm1797556/?ref_=fn_nme_nme_1'}"
Maedhbh McMahon,"{'Director': 'Maedhbh McMahon', 'IMDb Page': 'https://www.imdb.com/name/nm1603812/?ref_=fn_nme_nme_1'}"
Lotta Petronella,"{'Director': 'Lotta Petronella', 'IMDb Page': 'https://www.imdb.com/name/nm6982470/?ref_=fn_nme_nme_1'}"
Élodie Namer,"{'Director': 'Élodie Namer', 'IMDb Page': 'https://www.imdb.com/name/nm2446739/?ref_=fn_nme_nme_1'}"
Quitterie Hervouet,"{'Director': 'Quitterie Hervouet', 'IMDb Page': 'https://www.imdb.com/name/nm6244517/?ref_=fn_nme_nme_1'}"
Jacqueline Lentzou,"{'Director': 'Jacqueline Lentzou', 'IMDb Page': 'https://www.imdb.com/name/nm4952005/?ref_=fn_nme_nme_1'}"
Belén Macías Pérez,"{'Director': 'Belén Macías Pérez', 'IMDb Page': 'https://www.imdb.com/name/nm0534442/?ref_=fn_nme_nme_1'}"
Rosane Svartman,"{'Director': 'Rosane Svartman', 'IMDb Page': 'https://www.imdb.com/name/nm0840932/?ref_=fn_nme_nme_1'}"
Stéphanie Gillard,"{'Director': 'Stéphanie Gillard', 'IMDb Page': 'https://www.imdb.com/name/nm0128801/?ref_=fn_nme_nme_1'}"
Anjali Menon,"{'Director': 'Anjali Menon', 'IMDb Page': 'https://www.imdb.com/name/nm3250747/?ref_=fn_nme_nme_1'}"
Hedwig Schmutte,"{'Director': 'Hedwig Schmutte', 'IMDb Page': 'https://www.imdb.com/name/nm0773578/?ref_=fn_nme_nme_1'}"
Louise Bagnall,"{'Director': 'Louise Bagnall', 'IMDb Page': 'https://www.imdb.com/name/nm5370400/?ref_=fn_nme_nme_1'}"
Catherine Cyran,"{'Director': 'Catherine Cyran', 'IMDb Page': 'https://www.imdb.com/name/nm0194274/?ref_=fn_nme_nme_1'}"
Ashley Avis,"{'Director': 'Ashley Avis', 'IMDb Page': 'https://www.imdb.com/name/nm2382037/?ref_=fn_nme_nme_1'}"
Erin Heidenreich,"{'Director': 'Erin Heidenreich', 'IMDb Page': 'https://www.imdb.com/name/nm2272317/?ref_=fn_nme_nme_1'}"
Saskia Walker,"{'Director': 'Saskia Walker', 'IMDb Page': 'https://www.imdb.com/name/nm2366202/?ref_=fn_nme_nme_1'}"
Tea Lukac,"{'Director': 'Tea Lukac', 'IMDb Page': 'https://www.imdb.com/name/nm3827426/?ref_=fn_nme_nme_1'}"
Nathalie Ducharme,"{'Director': 'Nathalie Ducharme', 'IMDb Page': 'https://www.imdb.com/name/nm0239803/?ref_=fn_nme_nme_1'}"
Chandler Levack,"{'Director': 'Chandler Levack', 'IMDb Page': 'https://www.imdb.com/name/nm5576953/?ref_=fn_nme_nme_1'}"
Jennifer Conrad,"{'Director': 'Jennifer Conrad', 'IMDb Page': 'https://www.imdb.com/name/nm6822310/?ref_=fn_nme_nme_1'}"
Marianne Blicher,"{'Director': 'Marianne Blicher', 'IMDb Page': 'https://www.imdb.com/name/nm1513361/?ref_=fn_nme_nme_1'}"
Sarah Rotella,"{'Director': 'Sarah Rotella', 'IMDb Page': 'https://www.imdb.com/name/nm3282636/?ref_=fn_nme_nme_1'}"
Karianne Berge,"{'Director': 'Karianne Berge', 'IMDb Page': 'https://www.imdb.com/name/nm4553981/?ref_=fn_nme_nme_1'}"
Dina Duma,"{'Director': 'Dina Duma', 'IMDb Page': 'https://www.imdb.com/name/nm6674976/?ref_=fn_nme_nme_1'}"
Hong Ji-you,"{'Director': 'Hong Ji-you', 'IMDb Page': 'https://www.imdb.com/name/nm9106804/?ref_=fn_nme_nme_1'}"
Jessie McCormack,"{'Director': 'Jessie McCormack', 'IMDb Page': 'https://www.imdb.com/name/nm1394316/?ref_=fn_nme_nme_1'}"
Elke Lehrenkrauss,"{'Director': 'Elke Lehrenkrauss', 'IMDb Page': 'https://www.imdb.com/name/nm2536854/?ref_=fn_nme_nme_1'}"
Pia Tikka,"{'Director': 'Pia Tikka', 'IMDb Page': 'https://www.imdb.com/name/nm0863160/?ref_=fn_nme_nme_1'}"
Helle Rossing,"{'Director': 'Helle Rossing', 'IMDb Page': 'https://www.imdb.com/name/nm5168335/?ref_=fn_nme_nme_1'}"
Michal Bat-Adam,"{'Director': 'Michal Bat-Adam', 'IMDb Page': 'https://www.imdb.com/name/nm0060634/?ref_=fn_nme_nme_1'}"
Åsa Blanck,"{'Director': 'Åsa Blanck', 'IMDb Page': 'https://www.imdb.com/name/nm2375688/?ref_=fn_nme_nme_1'}"
Bojana Andrić,"{'Director': 'Bojana Andrić', 'IMDb Page': 'https://www.imdb.com/name/nm1714338/?ref_=fn_nme_nme_1'}"
Alexandra Sell,"{'Director': 'Alexandra Sell', 'IMDb Page': 'https://www.imdb.com/name/nm1990572/?ref_=fn_nme_nme_1'}"
Belle Avery,"{'Director': 'Belle Avery', 'IMDb Page': 'https://www.imdb.com/name/nm0043007/?ref_=fn_nme_nme_1'}"
Lillah Halla,"{'Director': 'Lillah Halla', 'IMDb Page': 'https://www.imdb.com/name/nm6743460/?ref_=fn_nme_nme_1'}"
Sylvia Chang,"{'Director': 'Sylvia Chang', 'IMDb Page': 'https://www.imdb.com/name/nm0151827/?ref_=fn_nme_nme_1'}"
Swati Bhise,"{'Director': 'Swati Bhise', 'IMDb Page': 'https://www.imdb.com/name/nm2455306/?ref_=fn_nme_nme_1'}"
Tereza Kotyk,"{'Director': 'Tereza Kotyk', 'IMDb Page': 'https://www.imdb.com/name/nm7910443/?ref_=fn_nme_nme_1'}"
Lisa Aschan,"{'Director': 'Lisa Aschan', 'IMDb Page': 'https://www.imdb.com/name/nm2132286/?ref_=fn_nme_nme_1'}"
Tanya Wexler,"{'Director': 'Tanya Wexler', 'IMDb Page': 'https://www.imdb.com/name/nm0923330/?ref_=fn_nme_nme_1'}"
Sharmeen Obaid-Chinoy,"{'Director': 'Sharmeen Obaid-Chinoy', 'IMDb Page': 'https://www.imdb.com/name/nm1581464/?ref_=fn_nme_nme_1'}"
Dominique Margot,"{'Director': 'Dominique Margot', 'IMDb Page': 'https://www.imdb.com/name/nm1436468/?ref_=fn_nme_nme_1'}"
Margie Schnibbe,"{'Director': 'Margie Schnibbe', 'IMDb Page': 'https://www.imdb.com/name/nm13126924/?ref_=fn_nme_nme_1'}"
Jadesola Osiberu,"{'Director': 'Jadesola Osiberu', 'IMDb Page': 'https://www.imdb.com/name/nm6567672/?ref_=fn_nme_nme_1'}"
Danielle Arbid,"{'Director': 'Danielle Arbid', 'IMDb Page': 'https://www.imdb.com/name/nm0033384/?ref_=fn_nme_nme_1'}"
Karin Kaper,"{'Director': 'Karin Kaper', 'IMDb Page': 'https://www.imdb.com/name/nm1564786/?ref_=fn_nme_nme_1'}"
Zelda Adams,"{'Director': 'Zelda Adams', 'IMDb Page': 'https://www.imdb.com/name/nm3176035/?ref_=fn_nme_nme_1'}"
Toby Poser,"{'Director': 'Toby Poser', 'IMDb Page': 'https://www.imdb.com/name/nm0692652/?ref_=fn_nme_nme_1'}"
Sabina Fedeli,"{'Director': 'Sabina Fedeli', 'IMDb Page': 'https://www.imdb.com/name/nm9921790/?ref_=fn_nme_nme_1'}"
Anna Migotto,"{'Director': 'Anna Migotto', 'IMDb Page': 'https://www.imdb.com/name/nm10509355/?ref_=fn_nme_nme_1'}"
Shalini Kantayya,"{'Director': 'Shalini Kantayya', 'IMDb Page': 'https://www.imdb.com/name/nm2687585/?ref_=fn_nme_nme_1'}"
Agnès Varda,"{'Director': 'Agnès Varda', 'IMDb Page': 'https://www.imdb.com/name/nm0889513/?ref_=fn_nme_nme_1'}"
Maasja Ooms,"{'Director': 'Maasja Ooms', 'IMDb Page': 'https://www.imdb.com/name/nm1007803/?ref_=fn_nme_nme_1'}"
Aliona van der Horst,"{'Director': 'Aliona van der Horst', 'IMDb Page': 'https://www.imdb.com/name/nm0395466/?ref_=fn_nme_nme_1'}"
Ngô Thanh Vân,"{'Director': 'Ngô Thanh Vân', 'IMDb Page': 'https://www.imdb.com/name/nm1787887/?ref_=fn_nme_nme_1'}"
Laura Samani,"{'Director': 'Laura Samani', 'IMDb Page': 'https://www.imdb.com/name/nm6851052/?ref_=fn_nme_nme_1'}"
Claudia Sparrow,"{'Director': 'Claudia Sparrow', 'IMDb Page': 'https://www.imdb.com/name/nm1245865/?ref_=fn_nme_nme_1'}"
Donna Deitch,"{'Director': 'Donna Deitch', 'IMDb Page': 'https://www.imdb.com/name/nm0215123/?ref_=fn_nme_nme_1'}"
Jasmila Žbanić,"{'Director': 'Jasmila Žbanić', 'IMDb Page': 'https://www.imdb.com/name/nm1120092/?ref_=fn_nme_nme_1'}"
Emma Rosa Simon,"{'Director': 'Emma Rosa Simon', 'IMDb Page': 'https://www.imdb.com/name/nm2801415/?ref_=fn_nme_nme_1'}"
Kanae Higashi,"{'Director': 'Kanae Higashi', 'IMDb Page': 'https://www.imdb.com/name/nm12911533/?ref_=fn_nme_nme_1'}"
Signe Søby Bech,"{'Director': 'Signe Søby Bech', 'IMDb Page': 'https://www.imdb.com/name/nm1597560/?ref_=fn_nme_nme_1'}"
Tinatin Kajrishvili,"{'Director': 'Tinatin Kajrishvili', 'IMDb Page': 'https://www.imdb.com/name/nm5091608/?ref_=fn_nme_nme_1'}"
Pippa Ehrlich,"{'Director': 'Pippa Ehrlich', 'IMDb Page': 'https://www.imdb.com/name/nm11813828/?ref_=fn_nme_nme_1'}"
Ester Brymová,"{'Director': 'Ester Brymová', 'IMDb Page': 'https://www.imdb.com/name/nm2469970/?ref_=fn_nme_nme_1'}"
Nønne Katrine Rosenring,"{'Director': 'Nønne Katrine Rosenring', 'IMDb Page': 'https://www.imdb.com/name/nm1356374/?ref_=fn_nme_nme_1'}"
Kim Ji-Hwan,"{'Director': 'Kim Ji-Hwan', 'IMDb Page': 'https://www.imdb.com/name/nm8906297/?ref_=fn_nme_nme_1'}"
Regine Lettner,"{'Director': 'Regine Lettner', 'IMDb Page': 'https://www.imdb.com/name/nm4671591/?ref_=fn_nme_nme_1'}"
Melanie Mandl,"{'Director': 'Melanie Mandl', 'IMDb Page': 'https://www.imdb.com/name/nm0541838/?ref_=fn_nme_nme_1'}"
Gabrielle Savage Dockterman,"{'Director': 'Gabrielle Savage Dockterman', 'IMDb Page': 'https://www.imdb.com/name/nm1475144/?ref_=fn_nme_nme_1'}"
Robin Hauser,"{'Director': 'Robin Hauser', 'IMDb Page': 'https://www.imdb.com/name/nm0369558/?ref_=fn_nme_nme_1'}"
Svetlana Baskova,"{'Director': 'Svetlana Baskova', 'IMDb Page': 'https://www.imdb.com/name/nm2618142/?ref_=fn_nme_nme_1'}"
Moira Simpson,"{'Director': 'Moira Simpson', 'IMDb Page': 'https://www.imdb.com/name/nm0801129/?ref_=fn_nme_nme_1'}"
Marcela Matta,"{'Director': 'Marcela Matta', 'IMDb Page': 'https://www.imdb.com/name/nm7674178/?ref_=fn_nme_nme_1'}"
Francis Meletzky,"{'Director': 'Francis Meletzky', 'IMDb Page': 'https://www.imdb.com/name/nm0577641/?ref_=fn_nme_nme_1'}"
Aruna Villiers,"{'Director': 'Aruna Villiers', 'IMDb Page': 'https://www.imdb.com/name/nm0898362/?ref_=fn_nme_nme_1'}"
Madara Dišlere,"{'Director': 'Madara Dišlere', 'IMDb Page': 'https://www.imdb.com/name/nm0228374/?ref_=fn_nme_nme_1'}"
Christiane Büchner,"{'Director': 'Christiane Büchner', 'IMDb Page': 'https://www.imdb.com/name/nm0119109/?ref_=fn_nme_nme_1'}"
Pham Nhue Giang,"{'Director': 'Pham Nhue Giang', 'IMDb Page': 'https://www.imdb.com/name/nm1126932/?ref_=fn_nme_nme_1'}"
Maiken Baird,"{'Director': 'Maiken Baird', 'IMDb Page': 'https://www.imdb.com/name/nm1930582/?ref_=fn_nme_nme_1'}"
Jimena Monteoliva,"{'Director': 'Jimena Monteoliva', 'IMDb Page': 'https://www.imdb.com/name/nm1938574/?ref_=fn_nme_nme_1'}"
Jennifer Kent,"{'Director': 'Jennifer Kent', 'IMDb Page': 'https://www.imdb.com/name/nm0448768/?ref_=fn_nme_nme_1'}"
Costanza Quatriglio,"{'Director': 'Costanza Quatriglio', 'IMDb Page': 'https://www.imdb.com/name/nm0702997/?ref_=fn_nme_nme_1'}"
Georgia Wyss,"{'Director': 'Georgia Wyss', 'IMDb Page': 'https://www.imdb.com/name/nm2201454/?ref_=fn_nme_nme_1'}"
Delphine Noels,"{'Director': 'Delphine Noels', 'IMDb Page': 'https://www.imdb.com/name/nm2055225/?ref_=fn_nme_nme_1'}"
Lien Willaert,"{'Director': 'Lien Willaert', 'IMDb Page': 'https://www.imdb.com/name/nm1093067/?ref_=fn_nme_nme_1'}"
Teona Strugar Mitevska,"{'Director': 'Teona Strugar Mitevska', 'IMDb Page': 'https://www.imdb.com/name/nm0835294/?ref_=fn_nme_nme_1'}"
Sara Taksler,"{'Director': 'Sara Taksler', 'IMDb Page': 'https://www.imdb.com/name/nm1582846/?ref_=fn_nme_nme_1'}"
Mara Vija Pelece,"{'Director': 'Mara Vija Pelece', 'IMDb Page': 'Not Found'}"
Barbara Topsøe-Rothenborg,"{'Director': 'Barbara Topsøe-Rothenborg', 'IMDb Page': 'https://www.imdb.com/name/nm0867784/?ref_=fn_nme_nme_1'}"
Rebecca Addelman,"{'Director': 'Rebecca Addelman', 'IMDb Page': 'https://www.imdb.com/name/nm2485374/?ref_=fn_nme_nme_1'}"
Katharina Otto-Bernstein,"{'Director': 'Katharina Otto-Bernstein', 'IMDb Page': 'https://www.imdb.com/name/nm0653267/?ref_=fn_nme_nme_1'}"
Barbara den Uyl,"{'Director': 'Barbara den Uyl', 'IMDb Page': 'https://www.imdb.com/name/nm1909063/?ref_=fn_nme_nme_1'}"
Rachel Leah Jones,"{'Director': 'Rachel Leah Jones', 'IMDb Page': 'https://www.imdb.com/name/nm1645725/?ref_=fn_nme_nme_1'}"
Ditsi Carolino,"{'Director': 'Ditsi Carolino', 'IMDb Page': 'https://www.imdb.com/name/nm0139046/?ref_=fn_nme_nme_1'}"
Annette Riisager,"{'Director': 'Annette Riisager', 'IMDb Page': 'https://www.imdb.com/name/nm1264063/?ref_=fn_nme_nme_1'}"
Janet Merewether,"{'Director': 'Janet Merewether', 'IMDb Page': 'https://www.imdb.com/name/nm0580686/?ref_=fn_nme_nme_1'}"
Carola Noelle Hauck,"{'Director': 'Carola Noelle Hauck', 'IMDb Page': 'https://www.imdb.com/name/nm0369172/?ref_=fn_nme_nme_1'}"
Moran Ifergan,"{'Director': 'Moran Ifergan', 'IMDb Page': 'https://www.imdb.com/name/nm3901863/?ref_=fn_nme_nme_1'}"
Camilla Ramonn,"{'Director': 'Camilla Ramonn', 'IMDb Page': 'https://www.imdb.com/name/nm2029802/?ref_=fn_nme_nme_1'}"
Eliza Schroeder,"{'Director': 'Eliza Schroeder', 'IMDb Page': 'https://www.imdb.com/name/nm2450688/?ref_=fn_nme_nme_1'}"
Marialy Rivas,"{'Director': 'Marialy Rivas', 'IMDb Page': 'https://www.imdb.com/name/nm0729086/?ref_=fn_nme_nme_1'}"
Annette Stefan,"{'Director': 'Annette Stefan', 'IMDb Page': 'https://www.imdb.com/name/nm1277564/?ref_=fn_nme_nme_1'}"
Selma Bargach,"{'Director': 'Selma Bargach', 'IMDb Page': 'https://www.imdb.com/name/nm9824539/?ref_=fn_nme_nme_1'}"
Sumitra Bhave,"{'Director': 'Sumitra Bhave', 'IMDb Page': 'https://www.imdb.com/name/nm0080387/?ref_=fn_nme_nme_1'}"
A.V. Rockwell,"{'Director': 'A.V. Rockwell', 'IMDb Page': 'https://www.imdb.com/name/nm5690427/?ref_=fn_nme_nme_1'}"
Hana Radilovič,"{'Director': 'Hana Radilovič', 'IMDb Page': 'https://www.imdb.com/name/nm13999109/?ref_=fn_nme_nme_1'}"
Bani Khoshnoudi,"{'Director': 'Bani Khoshnoudi', 'IMDb Page': 'https://www.imdb.com/name/nm1937881/?ref_=fn_nme_nme_1'}"
Maria Siniarska,"{'Director': 'Maria Siniarska', 'IMDb Page': 'https://www.imdb.com/name/nm8045434/?ref_=fn_nme_nme_1'}"
Tina Mabry,"{'Director': 'Tina Mabry', 'IMDb Page': 'https://www.imdb.com/name/nm2064480/?ref_=fn_nme_nme_1'}"
Heilika Pikkov,"{'Director': 'Heilika Pikkov', 'IMDb Page': 'https://www.imdb.com/name/nm4836969/?ref_=fn_nme_nme_1'}"
Natalia Maysundo,"{'Director': 'Natalia Maysundo', 'IMDb Page': 'https://www.imdb.com/name/nm8700382/?ref_=fn_nme_nme_1'}"
Olga Sommerová,"{'Director': 'Olga Sommerová', 'IMDb Page': 'https://www.imdb.com/name/nm0814046/?ref_=fn_nme_nme_1'}"
Karin de Miguel Wessendorf,"{'Director': 'Karin de Miguel Wessendorf', 'IMDb Page': 'https://www.imdb.com/name/nm6353514/?ref_=fn_nme_nme_1'}"
Trish Geiger,"{'Director': 'Trish Geiger', 'IMDb Page': 'https://www.imdb.com/name/nm1912949/?ref_=fn_nme_nme_1'}"
Judith Helfand,"{'Director': 'Judith Helfand', 'IMDb Page': 'https://www.imdb.com/name/nm0375030/?ref_=fn_nme_nme_1'}"
Kaouther Ben Hania,"{'Director': 'Kaouther Ben Hania', 'IMDb Page': 'https://www.imdb.com/name/nm4141599/?ref_=fn_nme_nme_1'}"
Malene Choi Jensen,"{'Director': 'Malene Choi Jensen', 'IMDb Page': 'https://www.imdb.com/name/nm1454795/?ref_=fn_nme_nme_1'}"
Sara Broos,"{'Director': 'Sara Broos', 'IMDb Page': 'https://www.imdb.com/name/nm2089105/?ref_=fn_nme_nme_1'}"
Ameera Al-Qaed,"{'Director': 'Ameera Al-Qaed', 'IMDb Page': 'https://www.imdb.com/name/nm5419421/?ref_=fn_nme_nme_1'}"
Marlowe Fawcett,"{'Director': 'Marlowe Fawcett', 'IMDb Page': 'https://www.imdb.com/name/nm1912285/?ref_=fn_nme_nme_1'}"
Mathilde Manderscheid,"{'Director': 'Mathilde Manderscheid', 'IMDb Page': 'https://www.imdb.com/name/nm11386893/?ref_=fn_nme_nme_1'}"
Erika Randall Beahm,"{'Director': 'Erika Randall Beahm', 'IMDb Page': 'https://www.imdb.com/name/nm3521557/?ref_=fn_nme_nme_1'}"
Han Ji-hye,"{'Director': 'Han Ji-hye', 'IMDb Page': 'https://www.imdb.com/name/nm1623740/?ref_=fn_nme_nme_1'}"
Diana Daf Collazos,"{'Director': 'Diana Daf Collazos', 'IMDb Page': 'https://www.imdb.com/name/nm6648330/?ref_=fn_nme_nme_1'}"
Francesca Marino,"{'Director': 'Francesca Marino', 'IMDb Page': 'https://www.imdb.com/name/nm6177608/?ref_=fn_nme_nme_1'}"
